artist_label_id,source_artist_label,label_attribution_status,external_identity_verified,graph_display_status
ALBL-ababccf91bd7eece0e9ec3cd599f803bff89a216bef0cd48537ae90773c5d93f,Hotkey金朝,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-a544a6bae8dc3a039e1a6690236454a235ec489b230bb6188381cf8018131cab,ICE,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-37ff92a2c4a991915f72decba88e5b2eded6f8d585460ca3c198988ae1274572,Ice Paper,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-275d6c06b34fc1ede399aff72db03e76929b074ec212f94453d28ff922f95804,JD,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-418d957c65e3f12cb24f65cfaad79dcbb7d801ab4bd79016f045bd0281ff09f5,JahjahWay,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-d7bb01eb8d746f1f9d0a1c46bb8ab67c980a36f3fbbdf2d4671c7ce7e040539c,Jarstick,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-4351325bff68d9ba2013f7254620f426c6d51a30ec2bb8dae4c1d2c8017071f4,Jony J,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-ee761957fd84d9c113ca2d9014b1d2209def3e6742e7c877eae5c8bdcb8b533e,KITO,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-64b99f305e19727a83cafde426896191340dac22d1096e0014290657b528110b,KKLUV,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-ef963e525bebe48fd785903ab976c726352c21df455380b64bd62eb74a2ae1b4,Kandi 侃迪,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-d7a92b911b2c469f9fb85d220c4cc53811a7f280d395332df796bd1660aeeee1,Kc,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-a77568795e33c21efc2dfb2618a260e28c13560b0490be94d601be2e0d5f1dba,Kigga,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-bda9bbfa89b0bd940295ad568d84d7283bdc5124046b7dd9e9f71ed328bb0828,KnowKnow,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-2807b98ea33a2a358a5e75262d1634d94c6402340cb7f15b88794a34f694ba24,Korn,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-7780937cebdf3a7fdf84d6f6de9953c0fd0540f37d1f306578ffeef94a098ca4,Kzoo,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-221b042f67c4f2355dc7dad96a2abf494dbcb2b4b99c051b5a00fdefb46192df,Lil Milk,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-8b19fea1157201b0a4d0afef0e391b821452f57f00416b5812dcee5efd068a7b,MC伟伟,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-591263eefafdb52e5702e00434d710421ec77268e1974ea65c6faf003f8b94b8,MULA SAKEE,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-eb108f2c1f83074b207ab2be2d7d69c06e433803fec18042e383702c08ae6036,Mac Overseas,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-60e338cff4ca7d43b678b87ac6d0bc2923b2b774e88285998ea805732a13bc86,Max马俊,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-275cbdad252f54c6748319f45ee0a8a3135340327f40dfd3f83e5b261bcad5df,Melo,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-b016bec408a317e14b16b72e4f81347a4faeda059b8d7ad3b9314c074fa0195f,Mengzi,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-ad0e4d83b1b91dd8dca2501c10a40db6acf0f405e34f11babd92198f6135a8f4,Mercy(lago),source_artist_label_not_externally_identity_verified,false,eligible
ALBL-84fcfdcf1ab20bc4908a76b2515756f6ec5f78984423e012859049c91ef1f807,NOTTIBO1,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-410bedcb3af781aedd8b01993423c88b246553bed5edec02764821357bfb3ad5,Nasty Ray,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-de2120b6e55092ce5c5aa011967ce8dcfffae11ffbb993f47bdf018134f00676,No Fear Family,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-cc48b376ac63f6fea6880e5372265eef198782cb91bad0382c98db1d34af89df,Nxmad诺曼得,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-78464572150eee2023d74408f5aee81cb00a15c8e6426eb88f5e34127d2695f6,OG Rolly,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-f1d17edd22455d0bb54bc9f551890a1040c9af1b1f7c4e516f53bb4c5cd7ad5b,OG Three,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-6333d5595ce07957878659758f2179f94c4e244fc91a624bad260e48824e6d0a,OWVRO老弟,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-3ee93b4fbf1fe5935538066bfee5c8fc4d55b7308cfe1dbf78748e19528345f6,Over$ize,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-9033c77c9bc50aacd1b2d8eb24227fe8142eb884573a498b41f5a89be7f0f5a3,PO8,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-24ab2db65ff01b86f7df8f18130ad4db0b5a038f7c40263e75fb0b0dc7213232,Poorman,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-2c4757a584ada65232fd4e1061bb867f3e2341823f769a11a3ad84438bfe03a6,ROB93,source_artist_label_not_externally_identity_verified,false,eligible
